1_153109_AG_H_BSA	1_153109_AG_H_IL13	2_153087_AG_A_BSA	2_153087_AG_A_IL13	3_156680_AA_H_BSA	3_156680_AA_H_IL13	4_154741_AA_A_BSA	4_154741_AA_A_IL13	5_153477_GG_A_BSA	5_153477_GG_A_IL13	6_153870_GG_H_BSA	6_153870_GG_H_IL13	7_156466_AA_A_BSA	7_156466_AA_A_IL13	8_152328_AG_A_BSA	8_152328_AG_A_IL13	9_153741_GG_H_BSA	9_153741_GG_H_IL13
NUCB2	15	12	17	14	17	12	17	13	18	17	17	14	18	11	13	14	13	15
PFKP	10	7	16	17	16	16	13	16	11	16	11	16	14	16	11	11	13	13
IFT172	5	2	12	3	10	3	13	12	5	5	12	8	14	6	4	7	10	7
SQOR	12	12	14	16	12	13	16	16	11	17	16	15	14	14	12	15	16	14
CLIC1	12	7	15	12	13	9	15	13	11	13	14	14	14	11	13	13	14	10
VILL	9	8	16	13	13	9	14	15	9	14	16	12	16	16	14	15	15	16
RPN1	14	9	16	14	15	16	15	16	15	14	14	14	15	15	13	13	15	16
GPI	7	12	15	16	13	14	16	16	11	17	13	15	13	17	13	14	11	13
CKB	9	9	15	14	14	14	14	16	12	14	15	13	14	14	10	13	9	9
LAP3	9	8	14	12	17	14	14	14	11	16	15	12	15	13	13	16	13	17
TAGLN2	16	11	17	16	16	15	17	17	15	15	14	16	14	16	12	11	10	12
ATP6V1A	7	7	12	8	11	9	13	10	8	16	16	9	12	10	10	14	11	14
IDH2	12	7	14	13	14	13	14	15	12	14	13	14	13	13	12	11	10	12
CCT3	12	8	14	12	13	13	16	13	10	15	15	11	14	13	12	12	11	13
GDI2	9	6	13	9	12	12	15	14	12	15	15	11	15	13	11	14	11	15
CCT4	9	9	15	12	13	12	14	14	13	16	11	10	12	13	10	14	13	14
ALDH18A1	11	5	12	12	8	12	12	15	2	14	11	12	8	16	8	11	10	13
IMMT	10	10	16	14	13	15	16	16	8	16	13	14	16	13	12	14	11	14
CROCC	1	1	12	7	14	8	11	9	3	7	10	5	14	8	11	8	10	6
ERO1A	9	11	14	15	13	14	14	16	11	15	14	15	12	13	9	11	11	11
EHD1	14	3	11	7	13	6	12	9	13	11	15	10	13	11	11	12	12	11
RUVBL2	10	0	16	10	15	10	16	15	12	12	16	10	17	8	12	12	12	10
SERPINA3	16	8	9	4	16	10	10	7	16	10	13	6	15	11	12	9	10	7
LTA4H	11	9	12	11	12	10	14	13	13	15	11	10	13	12	12	12	12	12
CLU	15	11	16	16	15	14	15	16	14	15	15	16	14	16	13	13	11	12
KRT13	4	2	12	12	4	3	11	14	5	4	13	5	6	5	6	8	13	12
MMP9	7	10	15	13	11	8	16	9	10	9	14	12	16	7	8	8	14	12
CANX	11	13	14	13	13	14	13	14	10	15	14	13	14	14	11	9	10	11
SERPINB1	11	11	14	13	14	13	14	14	12	16	14	13	11	14	12	12	11	13
ACTR3	10	7	14	12	12	13	12	13	12	14	11	12	14	13	9	12	9	11
HNRNPK	13	8	15	14	12	14	14	14	10	15	13	15	14	14	11	14	11	13
HNRNPU	9	5	13	11	13	12	14	11	12	13	10	8	11	11	12	11	10	12
POSTN	0	10	2	9	9	11	0	11	8	13	1	8	2	5	4	11	3	6
CAND1	7	5	13	10	9	10	13	10	9	14	12	12	12	12	12	9	9	12
KRT23	7	8	13	11	11	11	11	13	11	12	11	8	11	13	10	12	10	11
IARS2	9	2	13	15	10	11	13	15	8	13	13	10	11	14	11	14	13	15
RUVBL1	10	2	15	11	14	11	15	14	13	13	12	12	15	14	11	11	12	12
MYO1C	11	6	10	9	11	14	8	14	6	14	14	11	9	13	11	13	10	13
CAPN1	8	4	13	10	11	9	15	11	10	14	12	9	12	11	7	11	9	11
KRT10	9	0	11	3	14	7	12	14	14	7	8	5	7	3	10	4	7	9
TCP1	11	4	12	9	11	10	12	11	10	12	11	9	12	11	9	10	12	12
PGAM1	10	9	11	10	9	9	10	11	10	11	11	9	10	11	8	10	9	10
MAOA	9	6	9	13	9	12	9	15	9	15	8	10	10	13	7	15	12	14
TGM2	13	7	12	9	15	10	11	10	12	14	12	7	14	10	12	11	12	13
ECHS1	9	10	12	12	10	10	12	12	9	12	11	12	12	13	6	8	8	10
PPP2R1A	10	9	11	12	9	10	11	14	10	13	12	13	12	12	11	12	10	12
ALDH3A1	7	6	14	13	12	11	12	12	8	13	12	12	11	8	10	12	11	11
TALDO1	9	6	11	13	11	13	9	12	12	15	8	11	10	13	13	13	10	13
ACLY	7	7	10	12	10	14	13	12	6	14	9	11	9	12	6	11	9	13
MYL6	13	11	14	12	12	14	12	14	12	15	14	14	12	14	10	12	10	12
YWHAZ	11	13	14	14	11	14	14	14	12	14	12	14	12	13	10	11	9	12
LCN2	14	10	12	12	14	13	13	12	14	14	14	11	14	13	12	14	10	10
BASP1	9	4	12	7	12	10	14	11	10	10	14	11	14	11	11	10	13	12
HDLBP	6	4	9	11	9	12	12	13	7	14	10	12	10	11	6	10	9	13
PRDX1	10	11	13	14	12	14	13	14	10	13	13	14	11	13	8	9	10	10
KPNB1	7	4	10	8	7	10	10	11	7	13	12	7	8	8	8	12	11	14
RSPH4A	3	1	10	6	11	4	13	9	5	4	11	6	12	9	8	3	9	3
FAM3C	11	9	11	12	9	14	10	13	10	14	10	10	12	15	9	10	8	9
UGGT1	7	5	8	4	10	9	8	9	4	11	9	7	10	9	7	12	10	12
CALU	10	12	11	12	11	13	9	12	12	13	11	13	13	14	10	13	8	11
CTNND1	6	7	10	10	8	11	8	12	6	12	7	9	9	11	8	11	11	12
LETM1	5	3	9	10	7	7	8	10	5	12	8	6	10	12	8	9	10	12
GOT2	8	4	11	12	12	11	11	11	9	13	13	10	11	11	9	9	11	11
ALB	13	12	13	14	13	12	13	13	12	12	13	12	13	13	11	13	11	11
MMP1	4	10	10	8	6	12	6	13	12	14	6	5	6	10	4	6	9	12
MMP10	1	9	14	8	14	5	13	8	14	13	12	13	13	10	11	11	10	10
SCGB1A1	13	8	12	8	11	8	11	6	14	8	9	8	11	10	10	5	6	4
ANXA3	13	12	14	14	14	14	14	14	12	14	14	14	13	14	13	13	12	13
PRKCSH	13	7	13	11	12	10	13	14	12	14	11	9	13	11	11	10	10	9
AKR1A1	10	6	13	12	12	12	13	13	11	13	12	12	13	12	9	11	11	11
NCL	13	8	14	13	13	12	14	13	11	14	13	14	13	13	12	14	13	14
TYMP	7	7	9	7	13	11	12	11	13	13	11	9	11	13	10	12	10	11
WARS1	5	5	7	9	8	13	12	13	7	13	9	11	9	13	9	12	8	12
KRT2	7	2	7	3	14	4	10	12	13	3	4	2	3	3	6	4	3	5
MMP13	6	8	8	2	10	10	8	5	12	6	6	5	9	11	9	8	4	9
SERPINB10	3	7	4	12	4	11	6	10	4	10	4	11	4	10	5	10	5	11
RAB7A	9	7	11	13	10	13	12	12	11	13	12	9	10	12	10	11	11	11
PGD	8	7	11	14	10	11	12	13	7	14	12	11	11	13	7	10	7	12
NNT	4	3	8	8	7	10	8	10	4	13	8	5	10	11	7	12	10	13
DDX39B	8	6	11	10	7	10	11	10	9	14	11	11	9	8	10	12	10	10
CAPS	12	8	14	13	14	12	14	14	14	13	14	14	14	12	12	12	11	12
RSPH3	3	2	9	3	8	4	13	7	3	5	12	9	12	9	3	5	7	3
KTN1	6	3	9	10	11	11	14	13	6	14	10	9	11	10	7	13	8	13
SUCLG2	6	4	14	12	11	12	13	14	6	14	11	9	11	14	9	11	13	11
PHB2	13	9	13	11	12	12	12	12	12	13	13	12	13	14	11	12	13	13
PDCD10	6	5	10	6	10	9	10	10	8	9	7	9	9	11	6	8	6	8
SCIN	0	3	2	8	2	7	1	10	1	12	2	10	2	7	2	10	3	12
PSMD11	8	4	10	10	10	11	11	12	9	12	8	8	11	11	9	12	9	11
SLC26A4	0	8	2	1	1	9	1	3	1	9	1	8	3	9	1	10	1	8
UGDH	7	6	10	11	12	9	7	11	12	13	9	11	11	12	11	12	12	13
PLAU	9	10	12	8	11	11	10	11	12	13	12	10	11	12	9	10	9	10
ASS1	9	6	9	11	9	11	11	13	10	12	11	11	10	12	7	9	8	10
LYN	4	2	9	3	5	5	9	5	5	5	9	5	9	7	7	6	6	7
AMY1A	2	1	9	6	8	7	11	8	4	1	4	0	9	4	3	3	3	2
DARS1	6	3	9	10	8	9	10	10	5	11	9	7	6	11	6	11	10	9
HNRNPA2B1	10	9	13	12	10	10	12	12	10	12	9	10	8	10	9	9	10	9
UQCRC2	11	7	13	13	9	12	10	13	4	13	7	12	12	12	3	10	8	10
PPIB	12	10	13	13	12	11	13	13	11	13	11	12	10	12	11	11	9	10
ERP29	9	8	10	10	11	10	11	9	10	12	10	9	11	10	9	10	11	11
SDHA	8	3	13	8	11	8	12	13	7	13	9	7	13	12	7	9	9	9
PGM1	6	6	8	8	8	9	11	10	10	11	7	8	10	12	8	11	7	11
SERPINF1	12	10	12	11	13	12	12	11	12	11	12	10	13	12	12	11	11	10
NSF	4	2	8	10	8	7	9	8	5	11	6	6	7	10	3	11	11	11
TUFM	9	8	10	10	10	11	10	11	12	11	13	10	11	11	9	9	9	9
RARS1	8	5	12	11	10	9	10	12	10	13	10	10	12	12	9	12	11	12
PSMC6	4	3	9	7	6	6	8	9	3	11	5	6	7	6	5	7	8	9
ECH1	5	3	8	6	8	7	8	9	8	11	7	6	8	9	6	7	7	9
SEPTIN2	8	4	9	8	9	9	11	10	8	11	11	6	9	8	9	11	8	10
PPA1	10	6	10	11	9	11	11	10	6	11	6	8	7	10	5	7	5	7
STXBP2	9	5	9	6	9	5	12	8	7	6	10	7	9	9	7	9	9	10
HADH	6	7	10	11	10	10	10	12	6	12	9	8	9	9	6	7	5	7
TMC5	11	7	13	10	13	10	13	12	10	8	13	13	12	11	11	12	9	12
ARHGAP18	4	1	8	3	8	2	10	5	5	2	12	7	10	3	8	4	8	3
PSMD1	8	5	12	13	7	12	11	12	6	12	9	9	11	11	7	9	8	10
ODAD3	2	1	7	2	3	1	7	5	3	1	8	6	8	4	2	2	5	1
PDLIM1	8	4	8	8	10	9	8	10	9	10	10	6	10	9	10	9	8	9
LRG1	10	8	10	8	9	8	10	9	10	8	10	9	9	9	10	8	8	10
RPN2	7	2	8	7	8	10	9	10	5	11	8	6	7	9	5	7	8	9
