1_153109_AG_H_BSA	1_153109_AG_H_IL13	2_153087_AG_A_BSA	2_153087_AG_A_IL13	3_156680_AA_H_BSA	3_156680_AA_H_IL13	4_154741_AA_A_BSA	4_154741_AA_A_IL13	5_153477_GG_A_BSA	5_153477_GG_A_IL13	6_153870_GG_H_BSA	6_153870_GG_H_IL13	7_156466_AA_A_BSA	7_156466_AA_A_IL13	8_152328_AG_A_BSA	8_152328_AG_A_IL13	9_153741_GG_H_BSA	9_153741_GG_H_IL13
BSG	1	2	3	2	3	2	2	2	0	3	1	1	2	1	1	2	2	2
GPX4	2	1	2	3	3	1	2	2	3	3	3	3	3	3	3	2	3	3
FDFT1	0	0	1	0	0	1	3	3	0	1	1	0	2	1	0	0	1	1
EIF4A3	0	0	1	1	0	1	0	1	0	1	0	1	1	1	1	1	1	2
ANP32A	1	3	2	3	3	2	3	3	2	3	2	3	2	3	2	3	2	2
CEACAM6	2	1	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3
SSR1	3	2	3	2	3	2	2	3	3	3	2	3	3	3	3	3	3	3
PPIC	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
ACADSB	1	0	0	2	2	2	2	2	1	2	1	1	3	2	1	1	2	2
RPL27A	3	1	3	2	2	3	3	2	3	3	3	2	3	3	3	3	2	2
ME1	0	2	1	3	0	3	1	2	1	3	0	1	0	3	2	2	1	2
HSPA13	2	1	2	1	2	1	2	2	2	2	1	2	2	2	2	1	1	1
PITPNB	2	2	3	2	2	2	3	3	1	3	3	3	1	3	1	2	2	2
RAB27A	2	2	2	3	3	2	2	3	2	3	2	2	3	3	2	3	1	3
PSMD7	2	1	3	3	2	1	1	2	1	3	2	2	2	1	2	3	2	3
RRAD	1	1	1	1	3	1	2	2	1	1	2	2	3	1	3	1	2	1
ADK	1	2	2	1	1	1	1	2	1	1	2	1	1	1	2	3	2	3
SEC13	2	1	3	2	2	2	3	3	3	2	2	2	2	3	2	2	2	2
SNU13	2	0	2	2	2	2	2	2	0	2	1	1	2	1	0	2	2	2
EIF3B	1	1	2	3	1	3	2	2	1	3	1	2	2	1	2	3	1	3
ATP5MF	2	2	2	2	1	3	2	3	1	2	3	3	2	2	1	1	1	1
EIF6	1	1	1	0	0	1	2	1	2	2	2	0	1	1	1	1	3	3
RP1	0	0	3	1	2	2	3	2	1	0	3	2	3	2	2	1	2	0
SYNJ2BP	0	0	1	1	0	2	2	2	1	1	2	1	2	1	1	2	1	2
RAB25	1	0	1	1	1	1	2	2	0	1	2	1	1	1	1	1	2	2
MTPN	2	3	2	3	2	3	2	2	2	3	2	2	2	3	2	3	2	3
UBE2M	2	1	2	2	3	3	3	2	3	2	3	1	3	2	3	2	2	2
RAP1B	2	0	2	1	3	1	2	2	3	3	3	1	3	2	2	2	2	3
PCBD1	1	1	2	2	3	2	2	2	3	3	2	3	2	2	3	1	2	3
UFM1	3	1	3	2	3	3	2	3	3	3	2	2	3	3	3	3	3	3
RPL23A	3	1	3	3	2	2	3	2	2	3	1	3	2	3	2	2	1	1
RPS25	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
RPS28	2	2	3	3	2	2	2	3	2	3	2	2	2	3	2	2	2	2
RPL30	2	1	2	2	1	3	1	2	3	2	3	2	1	3	1	1	1	2
RPL31	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	2	2
FKBP1A	2	1	1	2	2	2	1	3	2	1	2	2	1	2	1	1	1	2
TRA2B	3	0	3	2	2	2	3	2	1	2	3	1	3	1	3	2	3	2
SKP1	2	2	3	2	2	2	3	3	2	3	3	3	3	3	2	3	1	2
UBE2L3	1	2	3	1	2	3	3	2	2	3	3	2	3	3	3	2	2	3
EIF4G2	3	1	2	3	3	2	3	3	1	2	2	2	1	2	1	3	3	3
CCL20	2	0	2	0	3	2	2	2	3	2	2	1	3	2	2	2	2	2
HLA-DRB3	2	2	3	2	2	3	2	2	0	1	2	2	1	0	2	2	2	2
CXCL6	3	2	3	0	3	2	3	0	3	3	3	0	3	3	1	2	0	0
ARF5	1	1	2	1	2	1	1	1	1	3	1	1	3	1	1	2	2	3
SLC25A3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
SORD	1	1	1	2	3	2	2	2	1	3	2	2	2	2	1	2	2	3
EWSR1	1	0	3	2	3	1	2	2	3	3	2	2	3	3	3	3	2	3
FKBP4	1	1	1	1	1	3	1	2	1	3	0	0	0	0	0	1	2	1
MVK	0	0	1	1	1	1	2	0	1	3	2	1	1	0	0	2	2	2
CALD1	1	1	1	1	2	1	0	2	3	2	1	1	1	2	3	2	1	3
SRSF4	2	2	2	2	2	3	2	3	1	3	2	2	2	3	1	2	1	2
RBBP4	3	2	3	2	3	3	3	3	3	3	2	2	3	3	3	3	3	3
TWF1	0	0	3	1	3	0	2	2	3	2	3	3	2	0	3	2	3	3
SF3A3	1	0	2	1	2	0	1	2	2	2	0	0	3	2	3	3	3	3
AIMP1	2	1	3	2	1	1	3	2	2	3	3	2	1	2	3	3	3	3
PTPRJ	1	0	2	0	0	0	0	2	0	2	2	3	0	0	0	2	0	2
HNRNPA0	3	1	2	3	3	3	3	3	2	3	1	3	3	2	3	3	3	3
PAK2	2	0	1	2	2	1	2	2	2	2	3	0	3	2	1	3	2	3
SRSF9	2	1	2	3	3	3	3	3	1	2	1	3	3	2	2	2	2	2
EIF3I	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ADAM9	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2
PIN1	0	1	1	2	1	1	2	2	0	1	3	2	2	1	1	0	1	1
HDAC1	3	2	1	0	2	0	2	2	1	3	1	1	3	1	2	2	2	2
CAMK2D	1	1	2	3	3	2	3	3	1	3	2	2	3	3	2	3	3	3
STIM1	0	0	2	2	1	0	1	1	1	3	0	1	2	1	2	3	2	3
SNX1	1	2	2	3	2	2	2	2	1	3	2	2	2	2	2	3	2	2
GFUS	2	0	3	2	3	2	2	2	2	3	3	3	3	3	3	3	3	3
DPYSL3	1	1	2	1	1	1	3	2	2	2	2	2	3	1	1	2	2	1
DCTN1	2	1	3	1	0	1	2	2	0	2	1	2	1	2	0	1	1	2
RCN2	0	0	2	2	1	2	2	1	2	2	1	1	3	1	2	1	2	2
TRIM25	2	0	2	1	1	2	2	3	2	3	3	2	3	3	2	3	3	3
NUMA1	0	1	2	0	2	2	2	2	1	3	3	3	3	2	2	2	2	3
CLCA4	3	2	1	0	1	0	3	3	0	2	3	0	0	0	2	3	2	2
EIF4H	0	0	2	1	2	1	3	2	2	2	3	2	3	3	2	3	1	1
PCM1	2	0	1	0	2	0	3	2	0	0	3	1	2	0	0	0	3	0
RAB35	1	1	1	2	2	3	3	3	2	2	3	3	2	3	2	2	2	1
RSU1	1	0	2	2	1	1	2	1	1	2	2	1	2	2	1	2	1	1
RPS6KA1	3	2	2	2	0	2	2	2	1	3	2	3	0	2	0	2	0	3
ELAVL1	3	2	3	3	3	2	3	3	3	2	3	2	3	2	3	3	3	3
NSDHL	2	1	2	2	2	2	2	3	1	2	2	2	2	2	3	2	3	2
TOMM34	1	1	2	1	0	2	1	3	1	2	1	2	2	1	1	2	1	1
ETFDH	1	0	2	3	1	2	3	3	0	3	2	3	2	2	1	3	3	3
SLC15A2	2	1	1	1	2	1	2	1	2	1	3	1	3	1	3	1	3	2
ECM1	0	0	2	2	0	1	1	2	1	2	0	2	1	1	1	2	3	3
MIA	1	0	2	1	3	1	3	1	3	3	1	0	2	2	1	2	1	2
H2AC20	2	1	3	2	2	2	2	2	1	2	2	2	1	1	1	2	1	1
HSD17B12	1	0	2	1	2	2	2	3	1	3	2	1	2	2	2	3	3	3
AGK	0	0	1	2	1	0	0	1	1	2	2	0	1	1	3	3	3	2
OCIAD2	2	1	1	0	2	0	1	2	2	2	1	0	2	1	1	2	2	2
PLEKHS1	0	0	2	2	0	1	2	2	2	2	2	1	2	1	1	0	1	0
SAXO2	1	0	3	1	3	1	3	2	3	0	3	1	3	2	2	2	2	1
CYB5R2	1	0	3	2	1	1	3	2	1	3	0	2	1	3	0	2	0	2
LAMTOR1	1	1	1	0	2	2	2	1	2	3	1	1	1	2	1	3	2	3
DHRS7B	0	0	0	0	0	0	0	1	0	2	0	0	1	1	0	1	1	2
ERICH5	1	0	3	1	1	2	3	1	0	1	3	0	3	1	1	2	1	2
MEAK7	0	2	0	0	0	0	1	0	1	1	3	0	1	0	0	0	0	0
CXCL17	3	2	2	2	3	3	2	2	3	2	2	2	3	2	0	1	2	2
TTC21B	0	0	1	0	0	0	2	2	0	1	0	0	2	0	1	0	1	1
PABPN1	0	1	1	1	1	1	2	2	0	1	0	1	2	2	2	2	2	2
RHPN2	1	0	1	0	2	0	2	2	2	0	2	1	2	1	1	1	2	2
MISP	1	0	3	1	2	0	1	1	1	3	2	1	3	1	0	1	1	2
FAM177A1	1	1	2	3	1	3	2	3	0	3	1	3	3	2	2	2	2	2
PROM2	2	1	1	0	1	1	3	1	2	1	3	1	2	0	3	1	3	0
SDR16C5	1	0	1	2	1	1	2	3	1	1	2	0	2	1	1	2	2	3
SLC5A8	0	2	0	1	1	2	0	2	2	3	1	3	1	2	0	1	0	3
APPL2	1	0	2	2	2	2	1	2	2	2	1	1	1	2	0	2	0	0
WDR19	0	0	2	0	1	0	1	2	0	0	2	1	3	1	0	0	1	0
GPRC5A	3	2	0	0	2	2	3	3	3	2	2	1	3	3	2	2	2	2
PRSS3P2	2	1	3	1	2	0	1	0	3	2	3	1	2	0	0	0	0	0
ENKUR	1	1	1	1	1	1	2	1	1	1	2	1	3	1	2	1	2	1
HM13	1	1	2	2	2	2	2	1	1	2	2	1	2	2	1	1	1	2
DYNC2LI1	0	1	2	0	2	0	2	1	0	0	2	1	3	1	0	1	0	0
SSH3	1	2	2	1	2	2	1	3	1	2	2	1	2	2	2	3	2	3
DYNLRB2	1	0	2	1	0	2	3	2	0	1	2	2	2	2	1	0	0	0
BRK1	1	0	3	3	1	3	1	3	1	2	2	3	2	3	2	1	2	1
MYO18A	0	0	1	1	1	2	2	2	1	3	1	1	1	3	1	3	1	2
TFG	2	1	2	1	1	0	2	2	1	2	1	1	2	2	2	2	2	2
OSTF1	1	1	3	3	3	3	3	3	2	2	2	3	2	3	2	2	2	2
UPF1	2	1	2	1	1	2	1	3	0	2	3	2	1	2	0	3	2	3
MYDGF	2	2	3	2	3	3	2	2	3	3	2	3	3	2	2	2	3	3
RILPL2	0	0	0	0	2	1	1	0	1	0	3	0	3	0	0	0	1	0
CLUAP1	0	0	2	1	3	2	2	3	3	1	3	2	3	2	3	1	3	2
DNAH11	0	1	1	0	1	2	0	0	1	0	2	0	2	0	0	1	1	0
PGAM5	1	0	1	1	2	2	2	2	1	2	2	1	1	1	2	2	1	1
CDK5RAP3	0	0	1	1	1	1	0	2	1	2	1	1	1	1	1	2	0	2
TMX3	3	2	2	2	3	1	2	2	2	3	2	1	3	2	3	3	2	3
CCDC17	1	0	3	1	1	1	2	2	1	1	2	2	3	2	3	1	2	1
CFAP53	0	0	2	0	1	0	2	0	1	1	2	0	3	0	1	1	1	1
SCGB3A1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
GFM1	0	0	1	0	0	1	1	2	1	2	3	1	2	0	1	2	3	2
MCCC1	0	0	1	0	2	1	1	2	0	2	2	1	2	2	0	1	2	2
CYP2S1	0	0	2	3	2	3	3	3	0	3	1	3	2	2	1	3	2	3
PSMB7	2	2	3	3	3	3	3	3	2	3	2	3	3	3	2	3	3	3
SORT1	0	1	0	2	1	3	1	2	0	2	0	3	1	2	0	2	1	2
CHP1	1	2	2	2	2	2	2	2	1	2	2	2	2	1	1	2	1	2
NAPG	3	2	3	3	2	3	2	3	2	3	3	1	3	3	0	3	2	3
TM9SF2	0	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	2
GDF15	2	1	2	2	3	2	3	2	3	2	3	1	3	3	3	2	3	2
NIPSNAP1	1	0	2	2	3	3	2	3	1	3	2	2	3	2	0	2	2	2
LXN	1	0	1	2	1	2	3	1	1	2	2	0	3	1	2	2	2	0
LRRC1	0	0	2	1	1	2	1	2	1	2	1	2	1	2	1	2	2	2
TMEM43	2	2	3	3	2	2	2	3	2	3	2	1	2	2	2	3	3	3
FUCA2	3	2	1	0	1	0	1	0	3	3	2	2	2	1	3	3	0	2
SFXN3	1	0	2	1	2	1	1	1	1	3	1	0	1	1	1	1	1	3
ANGPTL4	1	1	1	1	1	3	0	1	0	2	0	1	1	3	0	2	1	1
TINAGL1	2	3	2	2	2	3	3	3	2	2	2	1	3	2	1	2	1	2
DNAI2	0	1	1	0	0	0	1	1	1	0	2	1	2	0	0	0	1	0
SLIRP	2	1	3	1	1	3	3	1	1	3	2	2	2	2	1	2	2	2
ARL6	0	0	2	0	2	0	1	0	1	0	1	1	2	0	1	1	2	0
IFT22	0	0	0	1	1	1	3	2	1	1	3	2	3	1	0	0	1	1
METTL7A	3	0	3	1	3	3	3	3	2	3	3	2	3	3	3	3	3	1
JPT2	3	1	3	1	3	1	2	1	2	3	2	1	3	1	3	2	2	1
SYTL2	1	1	0	0	2	0	1	1	2	3	1	3	1	0	0	1	1	2
APMAP	2	0	3	1	3	2	2	3	3	3	2	2	3	2	3	2	3	3
DYNLRB1	1	0	3	2	3	2	3	2	1	1	3	2	3	3	2	1	2	2
IL1RAP	3	1	2	2	2	3	2	3	3	3	3	2	3	2	3	2	3	3
ACOT13	3	0	3	3	3	3	3	3	2	3	2	2	3	3	3	3	3	3
IFT46	2	0	2	2	0	2	2	2	0	1	2	2	2	2	1	2	2	1
SH3GLB2	2	2	3	2	1	3	3	3	1	3	2	2	2	3	2	1	2	3
CYRIB	1	2	1	2	1	1	1	1	2	1	1	2	0	2	2	3	1	3
ATAD3A	1	1	2	2	1	3	3	3	0	3	3	2	1	3	0	2	1	3
CHCHD3	1	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
TECR	2	1	3	3	3	3	2	3	2	3	2	2	3	3	3	2	3	3
NDUFA13	2	1	3	2	3	3	2	2	2	3	2	2	3	3	3	3	3	3
ABRACL	2	0	2	1	1	1	3	2	3	2	3	2	3	3	2	3	2	2
DNAJB11	3	1	3	2	3	2	3	3	1	3	2	3	2	2	2	3	3	3
UBA2	1	1	3	3	2	2	1	2	2	2	3	3	3	3	2	2	3	3
SWAP70	0	0	0	0	2	1	1	1	2	2	2	1	2	0	1	1	2	2
RSPH14	0	0	1	0	0	0	2	0	1	0	2	0	2	0	0	0	0	0
PFDN2	2	0	1	1	2	1	2	3	2	2	1	1	2	2	2	3	1	2
DNPEP	1	0	3	3	2	3	2	3	1	3	2	3	1	3	1	3	2	3
NDRG2	1	1	0	1	1	1	0	3	0	3	1	2	0	2	1	2	1	2
SNX6	1	2	2	2	2	3	2	3	2	3	2	1	2	3	3	3	2	3
GNE	1	0	0	1	0	0	0	1	0	2	0	0	0	1	0	0	0	2
CNPY2	1	1	3	2	2	3	3	3	2	3	3	2	3	2	3	3	3	3
GDA	2	1	3	0	3	2	3	3	3	3	2	2	3	1	3	2	1	3
THRAP3	0	1	2	0	2	1	1	1	1	3	0	1	1	1	2	2	2	3
TMED7	2	0	2	1	3	0	3	3	2	3	3	0	2	2	1	2	1	2
CHMP3	2	2	3	2	2	2	1	3	1	3	3	2	3	1	1	2	2	2
HSPB11	1	0	3	0	3	1	3	0	2	0	3	0	3	1	2	0	2	1
CFAP20	0	0	0	0	1	0	0	0	1	0	1	0	1	0	1	0	1	0
MTCH2	2	2	2	2	3	2	3	3	1	2	2	2	3	1	1	0	0	2
ARFGEF1	2	2	1	2	2	1	2	3	1	2	1	0	2	1	1	2	1	2
DYNC1LI1	1	0	0	0	2	1	2	1	0	2	1	1	2	0	2	1	2	2
IGF2BP2	0	0	2	1	1	3	2	2	1	3	1	1	1	3	0	2	1	3
AP1M2	2	1	2	2	2	2	2	2	2	3	2	2	3	2	2	2	3	3
WASF2	1	0	1	1	1	1	2	2	1	2	2	2	2	1	1	2	1	2
ARHGEF37	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1
ILVBL	0	0	0	1	0	1	1	1	0	1	1	1	0	1	0	0	0	0
SNTN	0	0	2	0	1	1	2	1	1	0	2	0	2	0	1	1	1	0
UPK3BL2	0	0	1	1	1	0	0	1	2	2	1	0	2	0	1	2	2	2
DNASE2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
IPO5	1	1	0	1	1	1	1	2	2	2	2	2	2	2	1	2	2	2
MANBA	2	1	1	0	1	1	1	0	2	1	2	0	2	0	2	2	2	0
PSMD14	1	0	1	1	2	1	2	1	0	2	1	0	2	2	1	2	1	2
STK25	0	0	1	0	2	0	1	0	0	0	1	1	2	1	0	2	1	2
MAN2B1	1	0	0	0	1	1	0	1	2	1	0	0	1	1	1	1	0	1
NDUFAB1	0	0	1	1	1	1	2	2	1	2	1	1	0	2	2	1	1	1
AP3D1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0
PTGES	2	0	2	2	1	2	2	2	1	2	2	2	2	2	2	1	2	2
TPP1	2	0	1	0	2	0	2	1	2	1	0	1	2	0	2	1	1	1
UQCRQ	1	1	1	1	1	1	1	2	1	1	1	2	1	1	0	1	0	1
UQCR11	0	0	1	1	1	1	1	1	1	2	2	0	2	1	1	1	2	2
SCAMP2	2	2	2	2	0	1	2	2	1	1	2	2	1	2	2	2	2	1
KPNA5	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1
PFDN6	0	0	1	0	1	0	1	1	1	1	1	0	1	1	1	1	0	1
PMM2	1	0	2	2	2	1	2	2	1	2	1	1	2	2	1	2	2	2
SLC16A3	0	1	0	0	1	1	1	1	0	2	1	1	0	1	0	2	0	1
ARPC5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
B4GALT5	2	0	2	1	2	0	1	0	2	0	2	0	2	1	2	0	2	0
TGOLN2	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0
LAMTOR5	1	2	2	1	0	2	1	2	2	2	1	2	2	2	2	2	2	2
NDUFA2	1	0	2	1	1	1	2	2	1	2	2	1	2	1	2	1	2	1
SYNGR2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
SNX3	0	1	0	0	1	1	1	2	0	1	1	2	1	0	0	1	0	2
ATP9A	1	0	1	2	1	1	0	2	1	2	1	2	2	1	1	2	1	2
GGCT	1	0	1	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0
NIPSNAP2	1	0	1	2	2	1	1	1	1	2	1	1	2	1	2	1	2	2
BCAS1	1	0	1	0	2	0	1	1	2	2	2	1	2	0	2	1	2	1
NDUFS6	1	1	1	2	1	1	2	2	2	2	1	2	2	2	1	2	2	2
PRPF40A	0	0	0	1	1	0	1	1	0	0	1	1	0	0	1	1	1	1
MTX2	1	0	1	1	1	1	2	2	0	2	1	1	2	1	0	2	1	2
ERLIN1	0	0	2	1	1	1	0	0	0	2	1	0	2	1	1	2	2	2
SRSF10	0	0	0	1	0	1	2	2	0	2	1	1	0	2	0	1	1	1
PRKRA	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
LYPLA1	1	2	1	2	1	2	2	2	2	2	2	2	1	2	1	2	2	2
ZMPSTE24	1	1	2	1	2	2	2	1	1	2	2	1	2	2	0	2	2	2
DHRS3	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2
UFL1	1	1	2	2	0	2	2	2	0	2	2	1	0	2	1	2	1	2
SUN1	1	0	1	0	1	0	0	1	1	1	1	0	1	1	1	1	1	1
PLPBP	1	0	1	1	1	2	2	1	1	1	1	1	2	2	1	2	1	1
WDR47	0	0	2	0	0	1	2	2	1	1	2	0	2	2	1	1	1	1
TJP3	0	0	0	0	0	1	0	0	1	1	0	0	2	1	1	2	2	1
NDUFB4	2	1	2	1	1	1	1	2	1	2	1	1	1	1	1	2	2	2
NDUFB8	1	0	2	2	1	1	2	2	2	2	2	2	2	2	2	2	1	2
RTN3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
NDUFC2	2	1	2	2	1	0	2	2	0	2	2	1	2	1	1	2	1	2
VNN2	1	1	2	0	1	0	1	1	2	1	2	1	2	1	2	2	2	1
OXSR1	2	1	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2
STAU1	1	2	2	1	1	1	2	2	2	2	1	2	1	2	1	2	1	2
TOMM40	0	0	2	1	1	1	2	2	0	2	1	1	2	2	0	2	2	2
PNP	1	2	2	1	1	2	1	2	2	2	1	1	2	2	1	2	2	2
HPRT1	0	1	1	2	1	1	2	2	0	2	0	2	2	2	1	2	0	2
KRAS	0	1	1	0	1	1	1	1	0	1	2	1	1	0	0	0	1	1
HLA-B	2	2	2	2	1	1	2	2	2	2	1	2	1	2	1	2	2	2
MB	0	1	2	1	2	2	2	2	1	1	2	0	2	1	1	2	1	2
COL2A1	1	1	1	2	1	2	1	2	2	2	2	1	1	2	2	2	1	2
TUBB4A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1
ISG15	2	1	0	0	0	2	0	1	1	2	0	0	0	1	2	2	0	2
TPM3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ACYP1	0	0	1	0	2	0	1	0	1	1	2	0	2	1	0	1	0	1
SRPRA	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	1
ASNS	0	0	1	1	1	0	0	0	1	2	1	1	1	1	1	1	2	1
INHBA	1	1	1	0	1	1	0	1	1	2	1	2	1	1	1	1	1	2
MET	0	0	0	0	1	0	0	1	0	1	1	1	0	0	1	1	1	1
MMP7	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0
CLTA	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2
CLTB	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
COX6C	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2
IFIT1	1	1	0	0	1	0	1	1	1	2	0	0	1	1	1	2	0	1
C4A	2	1	1	1	2	1	1	1	1	0	1	1	1	1	1	0	1	1
SAA1	1	1	1	1	1	1	2	1	2	1	1	0	1	1	1	1	1	1
SULT1A4	1	0	2	1	1	1	2	1	1	2	1	1	1	1	0	2	1	2
CXCL8	2	0	2	2	2	2	2	1	2	2	2	1	2	2	1	2	1	1
RRAS	1	2	2	2	1	2	2	2	2	2	2	2	2	2	1	2	1	2
PTPRF	0	1	2	0	2	2	2	2	2	0	1	0	1	1	1	2	1	0
SLC2A1	1	0	1	2	1	1	1	2	1	2	0	1	2	2	2	2	0	2
PYGM	0	1	2	2	1	2	2	2	1	1	2	2	2	2	1	1	2	1
RALB	0	1	2	2	2	1	2	2	1	2	2	2	2	2	2	2	2	1
PC	1	1	2	2	2	2	2	1	1	2	1	2	1	2	1	2	1	2
PRPS2	0	1	1	1	1	1	2	1	1	0	2	1	2	1	1	2	1	2
SLC25A4	2	0	2	2	1	2	2	2	1	2	2	2	1	1	1	2	2	2
COX7A2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
COX6B1	1	0	2	1	2	2	2	2	1	2	2	2	2	1	0	0	1	1
GSPT1	0	1	1	2	1	2	2	2	1	2	2	2	1	2	0	2	2	2
ARSA	1	1	2	0	1	1	1	1	2	2	0	0	1	0	2	2	0	2
ATP6V1B1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
FOLR1	1	1	1	1	2	1	1	1	2	1	1	1	2	1	1	1	1	1
NME1	1	0	2	0	2	1	2	1	2	2	2	1	2	1	2	1	2	2
GNS	1	0	1	1	1	0	2	2	2	1	1	1	1	0	2	1	2	1
EPCAM	0	0	0	2	1	2	0	2	0	2	0	1	1	2	0	0	0	0
NAGA	0	0	0	0	1	1	1	1	1	1	1	0	2	1	2	0	2	2
CEL	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	0	1	0
CXCL3	1	1	1	0	2	2	2	0	2	2	2	0	2	2	2	1	2	1
BTF3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RAB5A	2	1	2	0	2	1	2	2	1	2	2	2	1	2	1	2	1	2
GSTM3	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	2
TGM1	0	0	1	2	1	0	1	1	1	2	0	1	0	1	0	1	2	2
PTPRZ1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
IGFBP6	1	0	0	0	1	1	0	0	1	1	0	0	0	2	2	2	1	2
ACP1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
MYL9	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	2	0	2
CTNNA2	2	2	2	2	1	2	2	2	1	2	2	2	1	2	1	2	1	2
MAPK1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2
GRN	1	1	1	0	2	1	1	1	2	0	1	0	0	1	2	2	1	1
PTPN6	0	0	2	0	2	0	2	1	0	2	1	0	2	1	2	1	2	1
DDT	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ATP5F1D	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ADSS2	0	0	2	2	2	0	2	1	0	1	1	2	2	1	2	2	2	2
CASP14	0	0	0	0	1	0	2	1	0	0	0	0	0	1	1	0	1	0
GBP1	1	1	0	1	1	2	0	0	1	2	1	1	1	0	2	2	1	2
PRSS3	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0
ADD1	0	1	0	1	1	1	1	2	0	2	1	0	0	2	2	2	1	1
FUS	1	1	1	0	1	1	2	2	2	2	2	1	2	1	2	2	1	2
GLRX	1	0	2	1	1	2	2	1	2	2	1	1	2	2	1	1	0	1
CPOX	1	1	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2
NUP62	0	0	2	2	1	2	2	2	0	2	0	0	2	2	1	1	2	2
EIF2S3	0	2	2	2	1	1	0	2	1	2	2	1	1	1	0	1	1	2
EIF1	1	1	2	0	2	2	2	2	2	2	2	2	2	1	1	1	1	2
ACTR1B	2	2	2	2	2	2	2	2	0	2	2	2	1	2	0	1	1	1
CASP3	0	0	1	1	1	1	2	1	2	2	2	1	2	2	1	2	1	2
CDKN2A	0	2	2	1	2	2	0	2	1	2	2	2	2	2	2	2	1	2
BTD	2	0	2	0	2	1	1	1	2	1	1	0	2	1	2	1	1	1
CRK	1	0	1	1	1	2	2	2	1	2	2	2	2	2	1	1	1	1
CRKL	1	1	2	1	1	2	2	2	2	2	2	0	2	2	2	2	2	2
RPS10	1	1	1	2	1	2	2	2	2	2	2	1	1	2	1	2	2	2
MARCKSL1	0	0	1	0	2	1	1	0	1	2	0	0	2	2	2	2	1	1
SARS1	2	0	2	1	1	1	1	2	2	2	1	1	1	2	2	2	2	2
PSEN2	0	0	0	0	0	1	1	0	0	0	1	0	1	1	0	1	1	1
SERPINB8	0	0	0	0	1	2	1	0	0	2	1	1	1	2	0	2	0	1
FXR1	0	0	2	2	2	1	1	1	1	1	1	1	1	1	1	1	0	1
RAB9A	2	1	2	1	2	1	1	2	1	1	2	1	2	2	2	2	2	2
PLCD1	1	0	1	1	1	1	1	2	0	2	1	2	0	2	1	2	1	2
DUSP3	1	0	1	0	0	2	1	2	1	2	1	0	0	1	2	2	2	2
ALDH3A2	0	0	1	2	0	1	0	2	0	1	0	1	0	1	0	1	1	2
ARHGDIB	2	0	2	0	1	1	2	1	0	2	2	0	2	0	2	0	2	2
SMS	1	0	2	2	1	1	2	2	1	0	2	1	2	2	1	2	1	1
MRPL12	1	0	2	1	1	1	2	2	2	2	2	1	2	2	2	2	2	2
